symbol,entry,exit,pnl,type
AAPL,2025-05-06 11:31:00-04:00,2025-05-06 11:38:00-04:00,17.00000000000017,SmartExit
AAPL,2025-05-06 12:06:00-04:00,2025-05-06 12:16:00-04:00,46.50000000000034,SmartExit
AAPL,2025-05-06 12:48:00-04:00,2025-05-06 12:50:00-04:00,-8.499999999999375,SmartExit
AAPL,2025-05-06 13:03:00-04:00,2025-05-06 13:10:00-04:00,-8.499999999999375,SmartExit
AAPL,2025-05-06 14:02:00-04:00,2025-05-06 14:05:00-04:00,-14.000000000000057,SmartExit
AAPL,2025-05-06 14:30:00-04:00,2025-05-06 14:32:00-04:00,-3.999999999999204,SmartExit
AAPL,2025-05-06 15:26:00-04:00,2025-05-06 15:49:00-04:00,14.999999999999147,SmartExit
AAPL,2025-05-07 14:00:00-04:00,2025-05-07 14:11:00-04:00,-62.5,SmartExit
AAPL,2025-05-07 14:57:00-04:00,2025-05-07 15:05:00-04:00,-21.999999999999886,SmartExit
AAPL,2025-05-07 15:37:00-04:00,2025-05-07 15:46:00-04:00,50.99999999999909,SmartExit
AAPL,2025-05-07 15:47:00-04:00,2025-05-07 15:49:00-04:00,-10.999999999999943,SmartExit
AAPL,2025-05-07 15:58:00-04:00,2025-05-08 09:33:00-04:00,41.500000000000625,SmartExit
AAPL,2025-05-08 11:21:00-04:00,2025-05-08 11:38:00-04:00,44.49999999999932,SmartExit
AAPL,2025-05-08 14:15:00-04:00,2025-05-08 14:26:00-04:00,-3.499999999999659,SmartExit
AAPL,2025-05-08 14:30:00-04:00,2025-05-08 14:39:00-04:00,14.500000000001023,SmartExit
AAPL,2025-05-09 09:30:00-04:00,2025-05-09 09:37:00-04:00,2.000000000001023,SmartExit
AAPL,2025-05-09 11:17:00-04:00,2025-05-09 11:19:00-04:00,-7.000000000000739,SmartExit
AAPL,2025-05-09 12:19:00-04:00,2025-05-09 12:26:00-04:00,-6.000000000000227,SmartExit
AAPL,2025-05-09 12:55:00-04:00,2025-05-09 13:02:00-04:00,-13.500000000000512,SmartExit
AAPL,2025-05-09 13:41:00-04:00,2025-05-09 13:52:00-04:00,6.999999999999318,SmartExit
AAPL,2025-05-09 15:04:00-04:00,2025-05-09 15:13:00-04:00,-3.0000000000001137,SmartExit
AAPL,2025-05-09 15:44:00-04:00,2025-05-12 09:37:00-04:00,450.49999999999955,SmartExit
AAPL,2025-05-12 12:19:00-04:00,2025-05-12 12:27:00-04:00,12.5,SmartExit
AAPL,2025-05-12 12:45:00-04:00,2025-05-12 12:49:00-04:00,7.500000000000284,SmartExit
AAPL,2025-05-12 13:07:00-04:00,2025-05-12 13:13:00-04:00,5.499999999999261,SmartExit
AAPL,2025-05-12 13:30:00-04:00,2025-05-12 13:39:00-04:00,3.999999999999204,SmartExit
AAPL,2025-05-12 15:50:00-04:00,2025-05-13 09:36:00-04:00,37.5,SmartExit
AAPL,2025-05-13 11:30:00-04:00,2025-05-13 11:33:00-04:00,-4.999999999999716,SmartExit
AAPL,2025-05-13 13:03:00-04:00,2025-05-13 13:07:00-04:00,-1.999999999999602,SmartExit
AAPL,2025-05-13 13:17:00-04:00,2025-05-13 13:19:00-04:00,-6.999999999999318,SmartExit
AAPL,2025-05-13 13:31:00-04:00,2025-05-13 13:44:00-04:00,32.500000000000284,SmartExit
AAPL,2025-05-13 14:21:00-04:00,2025-05-13 14:23:00-04:00,3.0000000000001137,SmartExit
AAPL,2025-05-13 14:56:00-04:00,2025-05-13 15:17:00-04:00,40.500000000000114,SmartExit
